ID,X,Y,Z,Indoor,InCar,BSdist,GCellID
792,-342.968805,3.507565,1.500000,1,0,61.782766,13
793,-427.687780,33.079559,10.500000,1,0,45.509563,13
794,-425.031206,50.438314,4.500000,1,0,59.923575,13
795,-332.118232,15.484336,1.500000,1,0,73.484345,13
796,-390.952964,-75.624640,13.500000,1,0,77.027172,13
797,-475.012448,69.773383,16.500000,1,0,102.798066,13
798,-403.645192,56.355848,1.500000,0,1,61.167957,13
799,-480.614448,57.866482,1.500000,0,1,101.977787,13
800,-419.737341,-90.299820,13.500000,1,0,93.144352,13
801,-390.969668,-57.210114,13.500000,1,0,59.049082,13
802,-478.253988,28.991804,7.500000,1,0,85.267001,13
803,-372.066282,-52.259261,1.500000,0,1,63.746161,13
804,-353.315350,-218.333160,19.500000,1,0,70.066541,14
805,-303.692569,-217.802800,4.500000,1,0,49.222370,14
806,-319.453364,-201.596420,13.500000,1,0,36.287072,14
807,-346.807655,-183.599867,22.500000,1,0,48.013105,14
808,-279.718474,-147.897729,10.500000,1,0,35.525375,14
809,-233.802436,-170.921577,16.500000,1,0,66.780100,14
810,-362.784926,-186.643121,1.500000,1,0,68.372348,14
811,-314.947968,-269.296109,4.500000,1,0,99.383991,14
812,-245.417470,-109.746175,1.500000,0,1,86.939836,14
813,-241.984634,-234.283654,13.500000,1,0,85.021320,14
814,-329.558077,-266.510015,1.500000,1,0,100.656550,14
815,-307.186663,-249.916684,10.500000,1,0,78.400054,14
816,-362.986054,-159.580618,4.500000,1,0,67.624841,14
817,-227.883885,-124.705548,7.500000,1,0,88.652064,14
818,-369.736549,-102.974283,1.500000,0,1,101.724142,14
819,-391.230779,-148.291079,1.500000,0,1,97.447486,14
820,-335.974725,-205.596697,4.500000,1,0,52.570408,14
821,-316.457986,-212.031646,16.500000,1,0,43.018805,14
822,-241.734012,-163.989554,13.500000,1,0,60.100758,14
823,-321.396826,-108.343730,1.500000,0,1,72.229280,14
824,-200.474437,-198.972100,1.500000,1,0,105.458651,14
825,-217.644757,-191.560983,19.500000,1,0,84.555160,14
826,-391.358361,-158.529957,13.500000,1,0,93.241405,14
827,-297.962209,-94.299489,1.500000,1,0,82.355903,14
828,-268.564074,-146.881617,10.500000,1,0,43.490138,14
829,-292.275705,-123.333443,7.500000,1,0,53.414369,14
830,-222.809307,-139.441900,22.500000,1,0,84.288821,14
831,-323.949443,-166.645950,10.500000,1,0,28.754966,14
832,-266.722646,-233.532931,4.500000,1,0,71.882417,14
833,-229.030814,-139.932763,13.500000,1,0,79.220719,14
834,-153.755853,-322.449480,4.500000,1,0,55.972183,15
835,-131.272448,-367.420182,1.500000,0,1,75.611820,15
836,-229.359811,-358.831339,13.500000,1,0,33.890031,15
837,-125.645350,-401.653521,19.500000,1,0,92.793818,15
838,-184.693264,-270.320736,16.500000,1,0,78.077824,15
839,-140.591928,-322.638167,16.500000,1,0,64.549800,15
840,-258.046241,-291.172779,1.500000,1,0,83.503200,15
841,-251.473438,-432.137928,4.500000,1,0,102.073576,15
842,-213.466449,-329.665989,10.500000,1,0,25.922240,15
843,-155.417788,-322.052556,7.500000,1,0,53.731894,15
844,-101.940178,-403.130976,4.500000,1,0,115.122672,15
845,-177.969861,-439.899150,22.500000,1,0,96.082091,15
846,-202.866789,-454.370397,10.500000,1,0,108.967340,15
847,-230.581878,-275.696605,10.500000,1,0,78.395843,15
848,-148.363736,-421.599890,1.500000,1,0,94.191556,15
849,-168.239204,-409.626975,22.500000,1,0,70.790986,15
850,-262.329957,-338.981978,7.500000,1,0,65.164803,15
851,-166.533207,-276.980243,4.500000,1,0,79.754559,15
852,-219.231601,-432.945443,4.500000,1,0,90.986041,15
853,-131.378942,-304.135579,4.500000,1,0,83.163933,15
854,-174.183186,-378.141871,16.500000,1,0,41.781088,15
